,symbol
1162,HC1
1163,HBS
1164,HBH
1165,HBD
1166,HBC
1167,HAX
1168,HAW
1169,HAV
1170,HAT
1171,HAS
1172,HAR
1173,HAP
1174,HAN
1175,HAM
1176,HAI
1177,HAH
1178,HAG
1179,HAF
1180,HAD
1181,HAC
1182,HAB
1183,H11
1184,GVT
1185,GVR
1186,GTT
1187,GTS
1188,GTK
1189,GTH
1190,GTD
1191,GTA
1192,GSP
1193,GSM
1194,GQN
1195,GPC
1196,GND
1197,GMX
1198,GMH
1199,GMD
1200,GMC
1201,GMA
1202,GLW
1203,GLT
1204,GLC
1205,GKM
1206,GIL
1207,GIC
1208,GHC
1209,GH3
1210,GGG
1211,GEX
1212,GER
1213,GEG
1214,GEE
1215,GE2
1216,GDW
1217,GDT
1218,GDA
1219,GCF
1220,GCB
1221,GAS
1222,GAB
1223,G36
1224,G20
1225,FTS
1226,FTM
1227,FTI
1228,FT1
1229,FSO
1230,FRT
1231,FRM
1232,FRC
1233,FPT
1234,FOX
1235,FOC
1236,FMC
1237,FLC
1238,FIT
1239,FIR
1240,FID
1241,FIC
1242,FHS
1243,FHN
1244,FGL
1245,FDG
1246,FDC
1247,FCS
1248,FCN
1249,FCM
1250,FCC
1251,FBC
1252,FBA
1253,F88
1254,EVS
1255,EVG
1256,EVF
1257,EVE
1258,EPH
1259,EPC
1260,EMS
1261,EMG
1262,EME
1263,EMC
1264,ELC
1265,EIN
1266,EID
1267,EIC
1268,EIB
1269,EFI
1270,ECO
1271,ECI
1272,EBS
1273,EAD
1274,E29
1275,E12
1276,DZM
1277,DXV
1278,DXS
1279,DXP
1280,DXL
1281,DXG
1282,DX2
1283,DWS
1284,DWC
1285,DVW
1286,DVT
1287,DVP
1288,DVN
1289,DVM
1290,DVG
1291,DVC
1292,DUS
1293,DTV
1294,DTT
1295,DTP
1296,DTL
1297,DTK
1298,DTI
1299,DTH
1300,DTG
1301,DTE
1302,DTD
1303,DTC
1304,DTB
1305,DTA
1306,DT4
1307,DSV
1308,DST
1309,DSP
1310,DSN
1311,DSH
1312,DSG
1313,DSE
1314,DSD
1315,DSC
1316,DS3
1317,DRL
1318,DRI
1319,DRH
1320,DRG
1321,DRC
1322,DQC
1323,DPS
1324,DPR
1325,DPP
1326,DPM
1327,DPH
1328,DPG
1329,DPD
1330,DPC
1331,DP3
1332,DP2
1333,DP1
1334,DOP
1335,DOC
1336,DNW
1337,DNT
1338,DNP
1339,DNN
1340,DNM
1341,DNL
1342,DNH
1343,DNE
1344,DND
1345,DNC
1346,DNB
1347,DNA
1348,DMS
1349,DMN
1350,DMC
1351,DM7
1352,DLT
1353,DLR
1354,DLM
1355,DLG
1356,DLD
1357,DL1
1358,DKW
1359,DKH
1360,DKG
1361,DKC
1362,DIH
1363,DIG
1364,DID
1365,DIC
1366,DHT
1367,DHP
1368,DHN
1369,DHM
1370,DHG
1371,DHD
1372,DHC
1373,DHB
1374,DHA
1375,DGW
1376,DGT
1377,DGC
1378,DFF
1379,DFC
1380,DDV
1381,DDN
1382,DDM
1383,DDH
1384,DDG
1385,DDB
1386,DCT
1387,DCS
1388,DCR
1389,DCM
1390,DCL
1391,DCH
1392,DCG
1393,DCF
1394,DC4
1395,DC2
1396,DC1
1397,DBW
1398,DBT
1399,DBM
1400,DBH
1401,DBD
1402,DBC
1403,DAT
1404,DAS
1405,DAR
1406,DAN
1407,DAH
1408,DAG
1409,DAE
1410,DAD
1411,DAC
1412,D2D
1413,D17
1414,D11
1415,CYC
1416,CX8
1417,CVT
1418,CVP
1419,CVN
1420,CTX
1421,CTW
1422,CTT
1423,CTS
1424,CTR
1425,CTP
1426,CTN
1427,CTI
1428,CTG
1429,CTF
1430,CTD
1431,CTC
1432,CTB
1433,CTA
1434,CT6
1435,CT5
1436,CT3
1437,CSV
1438,CST
1439,CSM
1440,CSI
1441,CSC
1442,CRE
1443,CRC
1444,CQT
1445,CQN
1446,CPI
1447,CPH
1448,CPC
1449,CPA
1450,COM
1451,CNT
1452,CNN
1453,CNG
1454,CNC
1455,CNA
1456,CMX
1457,CMW
1458,CMV
1459,CMT
1460,CMS
1461,CMP
1462,CMN
1463,CMM
1464,CMK
1465,CMI
1466,CMG
1467,CMF
1468,CMD
1469,CMC
1470,CLX
1471,CLW
1472,CLM
1473,CLL
1474,CLH
1475,CLG
1476,CLC
1477,CKV
1478,CKG
1479,CKD
1480,CKA
1481,CK8
1482,CJC
1483,CIP
1484,CII
1485,CIG
1486,CID
1487,CIA
1488,CI5
1489,CHS
1490,CHP
1491,CHC
1492,CH5
1493,CGV
1494,CGL
1495,CFV
1496,CFM
1497,CET
1498,CEO
1499,CEN
1500,CEG
1501,CEE
1502,CE1
1503,CDR
1504,CDP
1505,CDO
1506,CDN
1507,CDH
1508,CDG
1509,CDC
1510,CCV
1511,CCT
1512,CCR
1513,CCP
1514,CCM
1515,CCL
1516,CCI
1517,CCC
1518,CCA
1519,CC4
1520,CC1
1521,CBS
1522,CBI
1523,CAV
1524,CAT
1525,CAR
1526,CAP
1527,CAN
1528,CAG
1529,CAD
1530,CAB
1531,C92
1532,C69
1533,C4G
1534,C47
1535,C32
1536,C22
1537,C21
1538,C12
1539,BXT
1540,BXH
1541,BWS
1542,BWE
1543,BWA
1544,BVS
1545,BVN
1546,BVL
1547,BVH
1548,BVG
1549,BVB
1550,BUD
1551,BTW
1552,BTV
1553,BTU
1554,BTT
1555,BTS
1556,BTP
1557,BTN
1558,BTH
1559,BTG
1560,BTD
1561,BTB
1562,BT6
1563,BT1
1564,BST
1565,BSR
1566,BSQ
1567,BSP
1568,BSL
1569,BSI
1570,BSH
1571,BSG
1572,BSD
1573,BSC
1574,BSA
1575,BRS
1576,BRR
1577,BRC
1578,BQB
1579,BPW
1580,BPC
1581,BOT
1582,BNW
1583,BNA
1584,BMV
1585,BMS
1586,BMP
1587,BMN
1588,BMK
1589,BMJ
1590,BMI
1591,BMG
1592,BMF
1593,BMD
1594,BMC
1595,BLW
1596,BLU
1597,BLT
1598,BLN
1599,BLI
1600,BLF
1601,BKH
1602,BKG
1603,BKC
1604,BIO
1605,BII
1606,BIG
1607,BID
1608,BIC
1609,BHT
1610,BHP
1611,BHN
1612,BHK
1613,BHI
1614,BHH
1615,BHG
1616,BHC
1617,BHA
1618,BGW
1619,BGE
1620,BFC
1621,BEL
1622,BED
1623,BDW
1624,BDT
1625,BDG
1626,BDB
1627,BCV
1628,BCR
1629,BCP
1630,BCO
1631,BCM
1632,BCG
1633,BCF
1634,BCE
1635,BCC
1636,BCB
1637,BCA
1638,BBT
1639,BBS
1640,BBM
1641,BBH
1642,BBC
1643,BAX
1644,BAL
1645,BAF
1646,BAB
1647,B82
1648,AVG
1649,AVF
1650,AVC
1651,AUM
1652,ATS
1653,ATG
1654,ATB
1655,ATA
1656,AST
1657,ASP
1658,ASM
1659,ASG
1660,ASA
1661,ART
1662,ARM
1663,APT
1664,APS
1665,APP
1666,APL
1667,API
1668,APH
1669,APG
1670,APF
1671,APC
1672,ANV
1673,ANT
1674,AMV
1675,AMS
1676,AMP
1677,AME
1678,AMD
1679,AMC
1680,ALV
1681,ALT
1682,AIG
1683,AIC
1684,AGX
1685,AGR
1686,AGP
1687,AGM
1688,AGG
1689,AGF
1690,AGE
1691,AG1
1692,AFX
1693,ADS
1694,ADP
1695,ADG
1696,ADC
1697,ACV
1698,ACS
1699,ACM
1700,ACL
1701,ACG
1702,ACE
1703,ACC
1704,ACB
1705,ABW
1706,ABT
1707,ABS
1708,ABR
1709,ABI
1710,ABC
1711,ABB
1712,AAV
1713,AAT
1714,AAS
1715,AAM
1716,AAH
1717,AAA
1718,A32
